COM,prob,patrimoine,index,expected_loss,model_premium
75101,0.010582414200000001,12986496.0,804,137428.47967864323,170.93094487393435
75102,0.0111273321,10445280.0,1141,116228.099437488,101.86511782426643
75103,0.009990581699999999,22891956.0,2088,228703.95669080518,109.53254630785689
75104,0.0086374972,17434604.0,1376,150591.3432331088,109.44138316359653
75105,0.0080946551,32339341.0,2806,261775.81155628912,93.291451017922
75106,0.009942541800000001,51556883.0,2319,512606.46430520946,221.0463407956919
75107,0.0087822978,89705039.0,2965,787816.3666586142,265.705351318251
75108,0.0108022931,36431197.0,1779,393540.46797784074,221.21442831806675
75109,0.0075784523999999995,31893056.0,2984,241700.0067865344,80.99866179173405
75110,0.0053589043,25095144.0,4058,134482.4750907192,33.14008750387364
75111,0.004590121199999999,48024953.0,7315,220440.35489430357,30.13538686183234
75112,0.0045868395,40640111.0,5966,186409.6664191845,31.245334632783187
75113,0.0040784654,44056416.0,7725,179682.5683040064,23.259879392104388
75114,0.0057150557,53141674.0,6633,303707.6269012418,45.78737025497389
75115,0.0072169498,82385159.0,9905,594569.5567680182,60.02721421181405
75116,0.006818432399999999,166260562.0,8033,1133636.4027830088,141.1224203638751
75117,0.006245419,80268813.0,7381,501312.36981764704,67.91930223786032
75118,0.0082226912,48991577.0,8590,402842.6090720224,46.896694886149284
75119,0.0067859810999999996,39707498.0,7874,269454.3309562878,34.2207684729855
75120,0.005149896,40940782.0,8258,210840.769458672,25.531698893033663
