COM,DISP_D118,DISP_D218,DISP_D318,DISP_D418,DISP_D618,DISP_D718,DISP_D818,DISP_D918,DISP_MED18
75101,12688.57142857143,18962.85714285714,23997.14285714286,28994.285714285714,41918.57142857143,51822.857142857145,66268.57142857143,93731.42857142857,35295.71428571428
75102,11447.0,16724.0,21945.0,27036.0,38303.0,46156.0,58507.0,82227.0,32617.0
75103,11707.64705882353,16962.941176470587,22324.70588235294,27842.352941176472,39586.470588235294,47417.64705882353,60101.17647058824,85730.58823529411,33231.76470588235
75104,11905.833333333334,17623.333333333332,22580.833333333332,27509.166666666668,38659.166666666664,46531.666666666664,58167.5,81623.33333333333,32447.5
75105,12804.4,19072.0,24363.2,29673.2,40859.2,48202.8,59180.0,81935.6,34903.2
75106,13839.5,20853.0,27208.5,33837.5,50034.0,62067.5,80763.0,124442.5,40890.0
75107,15467.307692307691,22713.46153846154,29747.30769230769,37630.0,57189.61538461538,72229.61538461539,96280.38461538461,153453.84615384616,46417.307692307695
75108,14574.0,22077.333333333332,29183.333333333332,36740.666666666664,55334.0,68779.33333333333,89382.66666666667,132789.33333333334,45219.333333333336
75109,12851.538461538461,18990.384615384617,24631.53846153846,30163.076923076922,42620.38461538462,50919.230769230766,62166.53846153846,86247.69230769231,35980.769230769234
75110,10431.666666666666,14706.111111111111,18963.61111111111,23213.055555555555,32433.61111111111,38289.166666666664,46031.944444444445,59920.0,27549.444444444445
75111,11450.63492063492,16028.57142857143,20220.79365079365,24487.93650793651,33226.34920634921,38662.53968253968,46351.269841269845,59746.50793650794,28655.079365079364
75112,12368.11320754717,17199.43396226415,21341.509433962263,25323.962264150945,33699.811320754714,38884.90566037736,45883.3962264151,58369.056603773584,29392.830188679247
75113,11419.85294117647,15281.617647058823,18689.41176470588,21985.441176470587,29117.79411764706,33494.26470588235,39525.73529411765,49820.882352941175,25426.029411764706
75114,12735.714285714286,17580.0,21743.035714285714,25634.464285714286,34220.53571428572,39653.21428571428,47376.78571428572,61523.21428571428,29639.64285714286
75115,13103.218390804597,18876.206896551725,23603.908045977012,28152.298850574713,37933.333333333336,43993.67816091954,52455.51724137931,68700.45977011495,32850.68965517241
75116,12845.42857142857,19911.428571428572,26682.14285714286,33876.142857142855,51408.142857142855,63383.57142857143,81298.0,119703.42857142857,41909.0
75117,12809.6875,18785.15625,24232.03125,29780.625,41953.4375,49872.34375,61142.34375,82501.71875,35458.59375
75118,10313.783783783783,14272.027027027027,17821.486486486487,21168.108108108107,28766.216216216217,33555.81081081081,40021.08108108108,51397.56756756757,24772.162162162163
75119,9835.797101449276,12975.942028985508,15834.782608695652,18758.985507246376,25294.492753623188,29328.840579710144,34742.608695652176,44058.115942028984,21851.159420289856
75120,10190.138888888889,13658.888888888889,16664.305555555555,19719.583333333332,26362.63888888889,30424.583333333332,35553.333333333336,44294.444444444445,22931.25
